date,topix,toyota,fast_retailing,hitachi,kddi
2020/12,1804.68,25963671043844,9808630970320,3934453651005,7064614500300
2021/01,1808.78,23819881691600,9527535781920,4167714002762,7094568834450
2021/02,1864.49,25689579254516,11137733880000,4719408610652,7580750719500
2021/03,1954.0,28113986391072,9348271303280,4843297926108,7822689572250
2021/04,1898.24,26518380617484,9515867679760,5208190675537,7617617592300
2021/05,1922.98,29742222139580,9458587905520,5551789948872,8564635387350
2021/06,1943.57,31683705647320,8870939851280,6158942052597,7983982140750
2021/07,1901.08,31993690409060,7840964651520,6059213860266,7677526260600
2021/08,1960.7,31298671943264,7692461533120,5891709226545,7765085083500
2021/09,2030.16,32629974920000,8748955146880,6429079583280,8504726719050
2021/10,2001.18,32736022338490,8009621764560,6345811383858,8129145452400
2021/11,1928.35,32646289907460,7149364414400,6475554857376,7603792515000
2021/12,1992.33,34351206097030,6927670473360,6032103283710,7746651647100
2022/01,1895.93,36635304341430,7105874215440,5750346934503,8398734459750
2022/02,1886.93,34889600683210,6558534150480,5470527055050,8654498389800
2022/03,1946.4,36260059629850,6681579591440,5969168016705,9228239097750
2022/04,1899.62,36472154466830,6381391144960,5879122173144,9988618349250
2022/05,1912.67,34628560883850,6571262989200,6511379547825,10336549461300
2022/06,1870.82,34261473666000,7539715468480,6235665744126,9882626089950
2022/07,1940.31,34865128202020,8507107211200,6493305863408,9889538628600
2022/08,1963.16,34285946147190,8692736109200,6776128851492,9854975935350
2022/09,1835.94,30606916474960,8136910151760,5921848455978,9770408322844
2022/10,1929.43,33600716673870,8803052711440,6547545888520,10120420593660
2022/11,1985.57,32801282288330,8571812141360,7069606130223,9466450298188
2022/12,1891.71,29570914771250,8542111517680,6276713868207,9169400410456
2023/01,1975.27,30941373717890,8318296103520,6362079428214,9346709258172
2023/02,1993.28,30386664144250,8560144039200,6463392400530,9178611259688
2023/03,2003.5,30672176424800,9190221555840,6802978474404,9425001476644
2023/04,2057.48,30296931713220,10186253185680,7021551831345,9781921884384
2023/05,2130.63,31137153567410,10399461234240,7547816437542,9880938513628
2023/06,2288.6,37663148551410,11685073944960,8346594400192,10247069770600
2023/07,2322.56,38927560079560,11315937622080,8723767393546,9641456433596
2023/08,2332.0,41032193461900,10654038008640,9095310939238,9959230732100
2023/09,2323.39,43683378924150,10370821347120,8702187844175,10539514233716
2023/10,2253.72,42255817521400,10507656363360,8786769970329,10332270125996
2023/11,2374.93,45592232456970,11930104090320,9535921614945,10650044424500
2023/12,2366.39,42263975015130,11134551670320,9429297309090,10329967413688
2024/01,2551.1,48944962380000,12646101268320,10824684963975,11276382172276
2024/02,2675.73,59076569592660,13766239075680,11742581162205,10486551850632
2024/03,2768.62,61866432448320,15000936431520,12892269329685,10320756564456
